unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,M,Y25-29,LT	99841 	100667 	100274 	99565 	99426 	97738 	98459 	104145 	104895 	103844 	104983 	106538 	109079 	110590 	112806 	115536 	120628 	125562 	131123 	134216 	136483 	138489 	138731 	141023 	145060 	148762 	152730 	156652 	157465 	156968 	154037 	147927 	142322 	136229 	128770 	125090 	124100 	123279 	122601 	122209 	118989 	115358 	111854 	107073 	105761 	108402 	111795 	111779 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,LU	22000 b	21481 	20378 	19769 	19071 	18432 	17853 	17485 	17001 	16454 	16020 	15623 	15427 	15220 	15113 	15303 	15588 	15747 	15984 	16250 	16580 	16714 	16955 	17217 	17475 	17208 	16992 	16536 	15971 	15641 	15555 	15234 	15071 	15103 	14954 	14790 	14672 	14409 	15145 	15293 	15355 	15556 	14828 	13746 	12828 	12474 	11553 	11529 	: 	: 	11837 	: 	11688 	: 	: 	: 	11915 	11845 
NR,M,Y25-29,LV	70433 	73089 	74489 	75305 	76422 	75725 	75437 	76996 	78036 	77252 	75988 	76231 	76877 	78139 	79078 	80504 	82443 	83182 	85609 	87109 	87864 	87112 	86501 	87110 	90424 	95929 	104102 	104699 	105186 	105701 	105172 	103041 	100695 	98690 	95959 	94446 	94176 	93430 	93039 	93901 	92621 	90086 	85576 	82050 	79231 	79481 	83348 	87996 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,MD	172395 	: 	180817 	181272 	178263 	171474 	165603 	160613 	155389 	150473 	147266 	153879 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,ME	21034 	21753 	22367 	23112 	23266 	23495 	23421 	22987 	22847 	22801 	22690 	22542 	22221 	21957 	21834 	21760 	21756 	21571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,MK	82651 	82724 	83459 	84112 	84141 	84103 	84407 	84251 	83951 	83249 	81955 	81294 	80683 	79549 	78630 	81169 	80106 	78527 	78062 	77505 	76936 	76713 	77078 	76947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,MT	19111 	18287 	17345 	16564 	15924 	15709 	15600 	15868 	15772 	15500 	15358 	15343 	15767 	15401 	15031 	14500 	13995 	13029 	12531 	12170 	11837 	12273 	12279 	12454 	12769 	13291 	13770 b	14254 	14311 	14509 	14516 	14513 	15324 	15556 	: 	14233 	13940 	13849 	13691 	13872 	13885 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,NL	552023 	540790 	529400 	522520 	515626 	509383 	504117 	503012 	498376 	495721 	495146 	497244 	498002 	507286 	518928 	540287 	564302 	594775 	626110 	646611 	657393 	663405 	667039 	668614 	671772 	671503 	669097 	660162 	652964 	642694 	630508 	620560 	610736 	603049 	598028 	595507 	590574 	587281 	587466 	594767 	608975 	630991 	609019 	594496 	571147 	533964 	483219 	471222 	452267 	439388 	433552 	423891 	410331 	399959 	391898 	390568 	387750 	391399 
NR,M,Y25-29,NO	187079 	184011 	179823 	173836 	168872 	164358 	158849 	155740 	153607 	149913 	145390 	144790 	146005 	149392 	153849 	159697 	165401 	168540 	171940 	174207 	174662 	175774 	176737 	175703 	172950 	170514 	167372 	165177 	163841 	162039 	160058 	159732 	159750 	158940 	158616 	157975 	156202 	155496 	155876 	156952 	158850 	163023 	163167 	161985 	156470 	147791 	134310 	126016 	117303 	111659 	107347 	105982 	102520 	100466 	98805 	99441 	100474 	104378 
NR,M,Y25-29,PL	1393916 	1423888 	1466254 	1516379 	1568293 	1602322 	1613230 	1613060 	1640115 	1606025 	1580804 	1576368 	1553035 	1524044 	1491823 	1455998 	1406313 	1362067 	1353473 	1317150 	1279732 	1255076 	1244069 	1254316 	1270419 	1298200 	1333305 	1385715 	: 	: 	: 	: 	1708669 	: 	: 	: 	: 	1687281 	: 	: 	: 	: 	1346307 	: 	: 	: 	: 	999200 	: 	: 	: 	: 	1116800 	: 	: 	: 	: 	1190800 
NR,M,Y25-29,PT	276452 	278464 	282792 	291690 	301518 	316114 	328394 	344969 	356187 	368655 	381679 	394939 	405381 	413873 	416632 	413258 	404998 	397673 	390620 	386055 	380436 	375419 	371163 	368998 	366186 	364305 	363321 	372476 	377937 	380378 	382765 	376520 	368768 	360998 	351543 	341598 	336679 	333180 	327710 	324200 	312490 	302890 	276940 	256090 	248570 	246730 	242532 	254920 	265350 	271480 	280160 	299390 	311080 	322300 	323960 	328380 	324364 	329140 
NR,M,Y25-29,RO	673853 	701855 	732741 e	724596 e	694200 	670368 	668740 	673549 	680711 	736871 	803198 	809126 	856856 	861435 	860158 	879080 	929703 	914261 	908567 	960733 	1013508 	974300 	911206 	836542 	734592 	638007 	699490 	730443 	758946 	794783 	833035 	868374 	899635 	919235 	919409 	915756 	903183 	889680 	882486 	877930 	845375 	806580 	727224 	677722 	647829 	637473 	629013 	658668 	678755 	698952 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,RS	226252 	229507 	233956 	240206 	243733 	246382 	248869 	259979 	259844 	260384 	261552 	262674 	262472 	260818 	258125 	254010 	249185 	244506 	241915 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,RU	: 	: 	: 	6320134 	: 	: 	6009771 	6158595 	5969335 	5744111 	5576398 	5518306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,SE	365217 	348983 	335238 	322761 	311854 	305922 	299224 	293280 	288322 	283544 	279309 	277042 	277673 	282961 	289490 	295514 	301250 	302625 	301793 	304492 	310768 	317312 	326435 	333540 	333726 	326885 	316904 	304284 	292030 	286016 	284497 	286303 	288957 	289247 	292551 	295135 	296333 	300703 	308106 	316091 	324708 	335348 	343796 	349664 	350289 	345087 	329299 	307079 	286132 	270823 	258158 	247835 	238203 	228999 	223099 	220918 	219858 	222198 
NR,M,Y25-29,SI	64210 	66491 	69046 	71213 	72336 	73843 	76436 	78708 	79392 	78317 	79543 	79212 	78648 	78234 	77210 	76626 	75374 	73716 	72108 	72577 	72649 	74008 	74196 	75360 	76551 	78148 	78373 	77876 	78458 	79101 	79461 	78564 	80376 	81710 	83745 	85029 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,SK	202208 	205716 	209940 	214638 	218682 	222714 	224809 	227201 	231070 	233910 	236038 	238611 	238664 	237192 	233493 	227430 	218038 	212883 	203444 	194848 	189154 	186836 	186831 	189361 	193467 	196269 	200918 	203418 	203642 	206229 	212049 	216671 	220187 	223916 	225448 	225441 	224237 	223209 	216934 	209919 	201279 	187828 	174310 	166357 	157208 	149324 	146968 	151315 	148212 	145866 	143545 	140507 	138104 	138066 	139540 	142748 	146640 	146335 
NR,M,Y25-29,SM	: 	: 	: 	: 	825 	832 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,TR	3169360 	3178350 	3179412 	3189167 	3185423 	3210343 	3275153 	3306767 	3300291 	3295102 	3148000 	3092000 	3034000 	2980000 	2925000 	2869000 	2814000 b	3144771 	3038311 	2922821 	2807311 	2700770 	2607738 	2529191 	2465158 	2408153 	2352650 	2395887 	2312627 	2233656 	2158749 	2087685 	2020262 	1949027 	1881851 	1818426 	1758466 	1701713 	1648334 	1597194 	1548198 	1501249 	1456264 	1373346 	1295238 	1221654 	1152329 	1087009 	1076396 	1065999 	1055812 	1045828 	1036044 	1053030 	1070924 	1089757 	1109560 	1130367 
NR,M,Y25-29,UA	1641657 	1722137 	1777288 	1931258 	1969672 	1957830 	1914339 	1890806 	1839257 	1778295 	1740002 	1734356 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,UK	2287511 	2259919 e	2219100 e	2183710 	2161974 	2151894 	2138977 	2120889 	2108397 	2066421 	1997156 	1933946 	1879098 	1852619 	1872514 	1922414 	1983452 	2040541 	2097063 	2155120 	2204975 	2241369 	2272419 	2304025 	2328210 	2337451 	2334124 	2308953 	2259172 	2205981 	2150225 	2090265 	2031176 	1979764 	1946191 	1933191 	1933914 	1947626 	1970096 	2009826 	2091001 	2140248 	2125863 	2101059 	2049962 	1937765 	1825700 	1769900 	1733900 	1706700 	1695600 	1695600 	1700000 	1700000 	1700000 	1700000 	1600000 	1600000 
NR,M,Y25-29,XK	71347 	74653 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,AD	: 	: 	: 	: 	3299 	3488 	3488 	4086 	4234 	4195 	4172 	4024 	3840 	3491 	3165 	3188 	3333 	3528 	3720 	3696 	3712 	3683 	3822 	3988 	3681 	3570 	3196 	2808 	2882 	2769 	2645 	2474 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,AL	101216 	97743 	94216 	89749 	85933 	83199 	80571 	79646 	80734 	81012 	83697 	86382 	89629 	92886 	98702 	101665 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,AM	123718 	122528 	120921 	: 	: 	: 	: 	118271 	113108 	108979 	105766 	101574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,AT	303131 	301553 	294584 	286869 	279695 	272048 	266217 	264350 	266884 	270460 	277882 	287212 	295218 	306227 	320798 	331851 	340926 	350079 	355995 	359204 	361476 	361369 	358680 	351698 	339426 	325064 	309261 	294019 	280430 	270466 	261961 	253932 	251422 	252693 	258005 	266399 	263716 	252562 	252655 	250240 	244888 	257744 	286060 	299439 	289382 	275692 	254656 	229624 	206928 	205624 	207651 	211050 	217819 	223813 	228649 	229382 	228149 	224241 
NR,M,Y30-34,AZ	427849 	414291 	403718 	392436 	381899 	367355 	354884 	340167 	310700 	296500 	292100 	287300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,BE	364079 	366115 	367501 	369993 	371237 	368548 	364728 	351200 	346948 	346326 	348958 	354866 	363568 	370439 	374781 	377070 	379977 	386574 	396046 	404472 	410085 	412993 	414298 	412104 	409058 	405956 	402045 	397581 	392101 	386052 	382402 	377388 	373685 	369770 	369992 	368967 	381683 	370138 	358814 	344532 	322687 	296294 	286734 	281553 	282704 	289211 	298480 	305223 	306696 	308245 	314715 	322908 	330755 	329302 	328902 	327286 	327127 	330350 
NR,M,Y30-34,BG	250016 	251729 	254270 	259290 	263770 	270154 	277345 	284539 	290269 	292574 	289400 	286444 	284486 	282266 	282099 	279448 	285925 	277864 	270222 	266427 	269965 	275671 	280596 	282881 	284894 	290821 	297306 	304697 	318332 	321395 	324178 	321947 	328383 	332953 	336436 	337158 	342289 	330885 	319210 	309690 	302079 	289683 	282431 	278485 	277972 	279254 	284831 	291029 	305512 	315341 	325610 	327781 	330191 	325000 	326998 	323951 	332765 	334785 
NR,M,Y30-34,BY	392703 	383236 	375255 	366062 	354275 	348168 	343355 	: 	348398 	343100 	342149 	340970 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,CH	301290 	297613 	294606 	288145 	281961 	275365 	268638 	261907 	259573 	255530 	254425 	259089 	264979 	270630 	277219 	282617 	283696 	292037 	300040 	306363 	310272 	309973 	306183 	298888 	291199 	283969 	276126 	264595 	257979 	252196 	246993 	242398 	241510 	242897 	246377 	249085 	253487 	254959 	256674 	256585 	256326 	253677 	250387 	241515 	233979 	226408 	223472 	221925 	217018 	212368 	209196 	204807 	202004 	197485 	192902 	187390 	182544 	181000 
NR,M,Y30-34,CY	33031 	32483 	32182 	34113 	33799 	32916 	30656 	28386 	26965 	25962 	25255 	24602 	24557 	24264 	23687 	23157 	23821 	24049 	24469 	24709 	24982 	25298 	25573 	25687 	25510 	24493 	23536 	22668 	21964 	21519 	21085 	20657 	20260 	19837 	19432 	19360 	: 	: 	: 	: 	: 	16386 	: 	: 	17617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16677 	: 
NR,M,Y30-34,CZ	376224 	379020 	385911 	399991 	418632 	436174 	455119 	471816 	480705 	475998 	460231 	441525 	417695 	392261 	368539 	355697 	350101 	350480 	354877 	359521 	356067 	350654 	341701 	328692 	324429 	333576 	347307 	369787 	386855 	400571 	410005 	416957 	422149 	424743 	430030 	436570 	439733 	430942 	423784 	410618 	385529 	360448 	351321 	330723 	309706 	295641 	284043 	282963 	282289 	285642 	294182 	304657 	316208 	323803 	329033 	330169 	331293 	344387 
NR,M,Y30-34,DE	2676180 	2647069 	2576055 	2525470 	2476511 	2416196 	2358233 b	2394924 	2381693 	2384764 	2432230 	2544755 	2696175 	2893463 	3115225 	3301927 	3450664 	3586199 	3687109 	3758978 	3786050 	3760371 	3699689 	3610308 	3483952 	3342717 	3218034 	2447296 	2317774 	2230141 	2229482 	2178823 	2172934 	2180796 	2192486 	2171459 	2112303 	1976191 	1939280 	1948692 	1985057 	2147529 	2418563 	2576682 	2643687 	2696592 	2643646 	2569554 	2408897 	2245880 	2177953 	2091652 	2007990 	1944777 	1988641 	1977476 	1905845 	1826404 
NR,M,Y30-34,DE_TOT	2676180 	2647069 	2576055 	2525470 	2476511 	2416196 	2358233 b	2394924 	2381693 	2384764 	2432230 	2544755 	2696175 	2893463 	3115225 	3301927 	3450664 	3586199 	3687109 	3758978 	3786050 	3760371 	3699689 	3610308 	3483952 	3342717 	3218034 	3096778 	2971852 	2879992 	2880184 	2828703 	2815539 	2804998 	2778211 	2717477 	2598317 	2411573 	2376393 	2407657 	2463943 	2697801 	3039653 	3231459 	3316906 	3385148 	3318688 	3222873 	3039923 	2841613 	2747309 	2637867 	2536726 	2444638 	2480854 	2454051 	2369325 	2266631 
NR,M,Y30-34,DK	168307 	163937 	161526 	161762 	164689 	167038 	171742 	177078 	181687 	184520 	189259 	193471 	193537 	194153 	196220 	199239 	205360 	212026 	217619 	220477 	218103 	210953 	204846 	198872 	194267 	191896 	191070 	190126 	190252 	191144 	190979 	189769 	189748 	190863 	193530 	199923 	208486 	215098 	219266 	217264 	210401 	197745 	186095 	175170 	166852 	159403 	156096 	150407 	147033 	143785 	141300 	139285 	138683 	137966 	139307 	139862 	141032 	142573 
NR,M,Y30-34,EA18	10559675 bp	10682416 p	10792952 b	10903802 	11012063 	11104265 	11160141 b	11305533 	11452253 	11545197 	11646454 	11822929 	12001610 	12168690 	12336761 	12457427 	12600892 	12758531 	12895398 	12975863 	12891798 	12795272 	12643268 	12418025 	12166151 	11933499 	11670836 	11435209 	11209593 	11030620 	10960041 	10840019 	10821508 	10828625 	: 	10893944 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,EA19	10651225 bp	10773050 p	10882977 b	10992540 	11100355 	11194431 	11253653 b	11405472 	11554771 	11649501 	11753651 	11933662 	12117599 	12288828 	12459950 	12581523 	12726981 	12885982 	13025749 	13110779 	13030765 	12939029 	12791806 	12568750 	12319255 	12086244 	11818893 	11578282 	11347568 	11160957 	11085743 	10963348 	10943001 	10948725 	: 	11010106 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,EE	49228 	48625 	47847 b	47114 	46485 	46848 	47010 	47370 	47470 	47820 	47980 	48730 	49060 	49330 	49140 	48150 	47150 	46550 	43799 	44476 	46449 	48676 	51191 	53590 	56284 	58860 	59554 	59907 	59920 	59731 	59391 	58880 	57894 	57661 	57361 	56352 	54804 	51592 	47861 	44692 	43553 	45202 	47919 	51494 	54932 	57080 	55666 	54754 	52816 	50639 	50119 	50130 	50824 	51165 	51650 	50816 	48893 	45447 
NR,M,Y30-34,EEA30	16752121 bp	16860006 ep	16980885 be	17116957 e	17239739 	17338848 	17425176 b	17557853 	17685554 	17788513 	17933818 	18093991 	18290663 	18429320 	18606629 	18748114 	18886819 	18989118 	19100448 	19101156 	18928795 	18852854 	18734614 	18527399 	18333147 	18185716 	18036821 	17872338 	: 	: 	: 	: 	17240225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,EEA31	16893341 bp	17005605 ep	17129374 be	17266966 e	17390311 	17489526 	17575279 b	17706563 	17832498 	17934043 	18077772 	18236710 	18431315 	18568932 	18746262 	18888998 	19029735 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,EFTA	497191 	490557 	486261 	476960 	467242 	454887 	445041 	436614 	435478 	432305 	433465 	441188 	449565 	458419 	467606 	473070 	474844 	483370 	489592 	492780 	494418 	491230 	484724 	475720 	467136 	458949 	450717 	439406 	431866 	424659 	417526 	410632 	408740 	410169 	414277 	418351 	426764 	428070 	428383 	422297 	412995 	396680 	384220 	365974 	352220 	: 	334918 	: 	322956 	316852 	314118 	310964 	311654 	309816 	308203 	304390 	302437 	303225 
NR,M,Y30-34,EL	337784 	356834 	379459 	399219 	414569 	426065 	434091 	435265 	434645 	432719 	432483 	430842 	431711 	432704 	434596 	434899 	435917 	423791 	410707 	392854 	376404 	366883 	360714 	360678 	361578 	359463 	357153 	349027 	342509 	338676 	336183 	333797 	332800 	326220 	325654 	324012 	328362 	319310 	314846 	294086 	274830 	256139 	243925 	249207 	255418 	269634 	282545 	302697 	311174 	312497 	310861 	316134 	323238 	325360 	332301 	341437 	342538 	284658 
NR,M,Y30-34,ES	1476628 	1551405 	1642804 	1744291 	1873020 	1981932 	2063851 	2120014 	2154044 	2127520 	2065247 	2001350 	1933425 	1859149 	1797551 	1731464 	1702764 	1687747 	1681457 	1662844 	1629578 	1595640 	1567208 	1526337 	1494544 	1470203 	1434532 	1397069 	1356544 	1321011 	1291392 	1265469 	1243606 	1240592 	1250586 	1239097 	1231318 	1240892 	1231792 	1203194 	1163909 	1120275 	1112951 	1033298 	979857 	982754 	1026226 	1064347 	1092715 	1119192 	1144035 	1170315 	1169142 	1168322 	1168682 	1169946 	: 	1178214 
NR,M,Y30-34,EU27	16556220 bp	16667062 ep	16789230 be	16928142 e	17054458 	17159326 	17248773 b	17383146 	17509649 	17611738 	17754778 	17911892 	18106077 	18241531 	18416242 	18557661 	18695671 	18797785 	18910896 	18914739 	18744649 	18671597 	18556073 	18350567 	18157210 	18010736 	17862230 	17697527 	: 	: 	: 	: 	17072995 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,EU28	16697440 bp	16812661 ep	16937719 be	17078151 e	17205030 	17310004 	17398876 b	17531856 	17656593 	17757268 	17898732 	18054611 	18246729 	18381143 	18555875 	18698545 	18838587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,FI	184004 	183915 	183123 	180608 	177454 	174711 	174220 	173572 	171532 	166303 	162205 	158395 	156605 	157884 	164134 	170678 	176839 	182321 	187594 	191034 	192790 	194189 	195346 	195434 	193682 	194261 	196001 	197918 	199831 	203365 	207005 	208099 	211233 	216249 	221547 	224914 	228742 	226791 	215013 	201259 	180707 	172732 	157939 	155118 	153050 	155599 	145511 	148780 	146250 	141438 	139760 	141708 	144525 	148586 	153272 	154959 	155335 	154068 
NR,M,Y30-34,FR	1996637 p	2010415 p	2029613 b	2025865 	2025281 	2005103 	1972885 	1945923 	1968878 	2023585 	2081822 	2142393 	2194565 	2215558 	2208039 	2188482 	2181770 	2185655 	2202290 	2226193 	2235696 	2237155 	2235126 	2226583 	2209987 	2204487 	2193494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,FX	: 	: 	: 	: 	1975615 	1954762 	1921780 	1894245 	1915373 	1968076 	2024382 	2083066 	2131938 	2151837 	2142942 	2123065 	2115407 	2118166 	2133359 	2157623 	2168153 	2171060 	2170715 	2164021 	2149658 	2145872 	2136351 	2128068 	2124632 	2126631 	2136897 	2145879 	2174664 	2200372 	2231780 	2250092 	2248453 	2133771 	2012962 	1887743 	1741686 	1587789 	1554889 	1538142 	1519685 	1528080 	1571298 	1589870 	1597626 	1609256 	1644362 	1670471 	1709914 	1712210 	1717611 	1674053 	1667542 	1649753 
NR,M,Y30-34,GE	135700 	133600 	138400 	167316 	: 	163825 	159696 	156681 	153119 	152045 	151368 	151681 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,HR	141220 	145599 	148489 	150009 	150572 	150678 	150103 	148710 	146944 	145530 	143954 	142719 	140652 	139612 	139633 	140884 	142916 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y30-34,HU	311254 	317281 	325315 	342759 	363084 	383062 	420282 	435141 	441528 	431229 	418856 	400713 	382022 	366490 	365759 	362821 	355373 	344039 	332130 	319720 	308741 	307562 	312273 	318066 	328187 	343355 	364255 	389033 	438760 	457472 	462594 	457394 	447362 	428497 	417516 	413898 	399527 	381314 	384221 	373778 	367135 	366214 	368350 	355512 	348427 	338171 	331666 	326284 	324659 	328029 	335768 	342701 	351578 	356738 	361212 	362651 	366168 	367407 
NR,M,Y30-34,IE	167872 	173594 	179055 	186521 	191381 	193828 	192639 	187878 	187688 	186213 	182512 	174862 	166998 	160859 	156731 	150341 	142546 	136601 	133390 	131358 	129388 	127579 	126802 	125961 	125967 	124994 	122293 	119572 	119843 	121803 	122777 	122200 	122378 	121400 	119900 	119300 	117600 	114707 	111500 	106500 	102100 	97500 	92900 	88400 	84000 	79900 	76600 	75800 	75100 	74800 	74200 	73900 	74400 	74600 	74800 	75000 	75700 	77900 
NR,M,Y30-34,IS	12109 	11870 	11964 	12037 	11806 	11494 	11508 	11537 	11952 	12147 	11910 	11178 	10584 	10409 	10232 	10138 	10157 	10254 	10311 	10455 	10690 	10724 	10847 	10976 	10842 	10903 	10814 	10652 	10497 	10308 	9993 	9707 	9659 	9449 	9121 	8852 	8663 	8339 	8052 	7791 	7469 	7065 	6577 	6115 	5838 	5605 	5535 	5639 	5706 	5748 	5799 	5925 	6096 	6176 	6243 	6226 	6094 	5980 
NR,M,Y30-34,IT	1742861 	1776419 	1814846 	1847588 	1850736 	1895359 	1946590 	2033346 	2129907 	2190461 	2234433 	2284335 	2300458 	2292008 	2274400 	2280771 	2303287 	2331482 	2354567 	2354379 	2335756 	2297685 	2244527 	2175101 	2118548 	2075333 	2015214 	1981956 	1952523 	1925880 	1898283 	1877574 	1879572 	1891284 	1939928 	1986747 	2040494 	1977265 	1921170 	1840709 	1770961 	1704366 	1781348 	1842406 	1887061 	1909673 	1935300 	1901500 	1874400 	1855600 	1850200 	1862200 	1892200 	1894200 	1902300 	1918800 	1925500 	1907600 
NR,M,Y30-34,LI	1143 	1164 	1195 	1196 	1205 	1192 	1206 	1165 	1170 	1235 	1223 	1247 	1358 	1394 	1428 	1457 	1413 	1363 	1391 	1324 	1332 	1316 	1275 	1285 	1284 	1307 	1342 	1264 	1256 	1251 	1216 	1191 	1199 	1239 	1268 	1283 	1319 	1327 	1266 	1196 	1159 	1110 	1123 	1068 	971 	: 	841 	: 	791 	768 	736 	680 	679 	626 	592 	577 	528 	499 
NR,M,Y30-34,LT	91550 	90634 	90025 	88738 	88292 	90166 	93512 	99939 	102518 	104304 	107197 	110733 	115989 	120138 	123189 	124096 	126089 	127451 	130351 	134916 	138967 	143757 	148538 	150725 	153104 	152745 	148057 	143073 	137975 	130337 	125702 	123329 	121493 	120100 	119088 	116162 	113191 	110504 	106365 	104880 	107901 	111503 	113117 	116240 	117491 	116503 	115856 	115287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
